subject,trial,trial_uid,redundancy,unique_ecn,unique_dmn,synergy
sub-M87100058,119,sub-M87100058_win_119,0.46093510278031236,0.5070356685155755,0.0,0.9779550498880507
sub-M87100058,120,sub-M87100058_win_120,0.7819534751153423,0.0,0.9659778905095919,0.48426474014167376
sub-M87100058,121,sub-M87100058_win_121,1.8250715053768518,0.07766511490388428,0.0,0.10546268356618782
sub-M87100058,122,sub-M87100058_win_122,0.6263031190131247,0.0,0.046085155813077705,0.4332259096668478
sub-M87100058,123,sub-M87100058_win_123,0.46351180168807726,0.0,0.22208955757619808,1.2676124838192013
sub-M87100058,124,sub-M87100058_win_124,0.4854627739200259,0.0,0.1648942222869909,1.0737030258798992
sub-M87100058,125,sub-M87100058_win_125,0.7881599860242439,0.0,0.510628484362015,0.7006316317835495
sub-M87100058,126,sub-M87100058_win_126,0.6797130614863276,0.0,0.03389941213703018,1.1065715779066227
sub-M87100058,127,sub-M87100058_win_127,0.4575874197351819,0.0,0.07738262926371764,1.076211934301745
sub-M87100058,128,sub-M87100058_win_128,0.6652607738694991,0.6089016269548173,0.0,0.900122308927295
sub-M87100058,129,sub-M87100058_win_129,0.9629977083412857,0.15164714496793952,0.0,0.3509635033620473
sub-M87100058,130,sub-M87100058_win_130,0.6628381833344381,0.2757265226761776,0.0,0.7765596727953614
sub-M87100058,131,sub-M87100058_win_131,1.3086817802018826,0.0,0.10849001037165706,0.8209263327843095
sub-M87100058,132,sub-M87100058_win_132,1.0077576976185307,0.41956363438740585,0.0,0.6093661005579882
sub-M87100058,133,sub-M87100058_win_133,0.556822953678501,0.0,0.20639079777912261,1.199148379279821
sub-M87100058,134,sub-M87100058_win_134,1.2465447969276946,0.0,0.3649999032780018,0.3056780135364372
sub-M87100058,135,sub-M87100058_win_135,0.34385633649557956,0.0,1.2194956223019426,0.6827409190082108
sub-M87100058,136,sub-M87100058_win_136,0.40208345825602443,0.0,0.13419647762939935,1.253680165463451
sub-M87100058,137,sub-M87100058_win_137,0.6097158106794867,0.2486459116144486,0.0,1.0426348969180497
sub-M87100058,138,sub-M87100058_win_138,0.44285152463162625,0.0,0.16650001179732588,1.0474077398811161
sub-M87100058,139,sub-M87100058_win_139,0.790805600621173,0.4678923279312137,0.0,0.8959403701066808
sub-M87100058,140,sub-M87100058_win_140,0.47942228798195874,0.40661900403757745,0.0,1.282315812881591
sub-M87100058,141,sub-M87100058_win_141,0.5127660573293378,0.33274379883488514,0.0,1.2136720593146766
sub-M87100058,142,sub-M87100058_win_142,0.3307601457235734,1.0460605251884756,0.0,0.8190362134209161
sub-M87100058,143,sub-M87100058_win_143,0.43263540813500523,0.0,0.4225817741726967,1.0765795662750133
sub-M87100058,144,sub-M87100058_win_144,0.3258911791774466,0.0,0.5893052515832098,0.9169650889103425
sub-M87100058,146,sub-M87100058_win_146,0.5225116555374614,0.277645052855628,0.0,1.1391545856177068
sub-M87100058,147,sub-M87100058_win_147,0.8864413665728677,0.15984006076207358,0.0,1.2359860960383235
sub-M87100058,149,sub-M87100058_win_149,0.50356772049438,0.0,0.25557488357228486,1.252380330226063
sub-M87100058,150,sub-M87100058_win_150,0.8074782671618426,0.6909141506632723,0.0,0.5355968527087906
sub-M87100058,151,sub-M87100058_win_151,0.8175768276311528,0.0,0.015942463327079714,1.1429290407039563
sub-M87100058,152,sub-M87100058_win_152,0.672706868086455,0.15159601388902466,0.0,1.1262516624127494
