feature,g_ds003474,se_ds003474,p_ds003474,g_ds003478,se_ds003478,p_ds003478,g_MODMA,se_MODMA,p_MODMA,g_TDBRAIN,se_TDBRAIN,p_TDBRAIN,n_consistent,direction,n_sig_p05,n_sig_p10,g_pooled,se_pooled,p_pooled
dds_cACC_alpha2,0.24744243343893169,0.2282017125197181,0.2779287369863407,0.2534662750511764,0.22378510071087399,0.23555457487115594,0.20455239014893611,0.27666614921331223,0.09477257417732889,-0.09081205698136414,0.1566027596351577,0.29742521990959503,3,MDD>,0,1,0.09442159082902352,0.10368911043370184,0.36249454568453543
dds_cACC_alpha2,0.24744243343893169,0.2282017125197181,0.2779287369863407,0.2534662750511764,0.22378510071087399,0.23555457487115594,0.20455239014893611,0.27666614921331223,0.09477257417732889,-0.09081205698136414,0.1566027596351577,0.29742521990959503,3,MDD>,0,1,0.09442159082902352,0.10368911043370184,0.36249454568453543
dds_LH_alpha1,0.3757704381158847,0.22920657026251368,0.07244660660297443,0.22619258580218618,0.22362444368342888,0.15242905051042033,0.06851015215605281,0.2760320722650639,0.4802725078517741,-0.16442064503395917,0.15668698417253174,0.0715786508763971,3,MDD>,0,2,0.09148443312961684,0.13137021826604323,0.4861868788961954
dds_LH_alpha1,0.3757704381158847,0.22920657026251368,0.07244660660297443,0.22619258580218618,0.22362444368342888,0.15242905051042033,0.06851015215605281,0.2760320722650639,0.4802725078517741,-0.16442064503395917,0.15668698417253174,0.0715786508763971,3,MDD>,0,2,0.09148443312961684,0.13137021826604323,0.4861868788961954
dds_cACC_phi2,0.36515832617236016,0.22910797287878576,0.10221076940364998,0.15395590761007039,0.22328683132102367,0.42989349244239916,0.14485243545299523,0.27631028000250135,0.17730416254335823,-0.1526495034383849,0.156670255779912,0.14810727379267463,3,MDD>,0,0,0.08154971085748883,0.12112858888694887,0.5007888425611471
dds_frontal_phi1,0.16347858777034918,0.22776683541317952,0.3607653505845012,0.4637443478091023,0.22562893835920567,0.07147083896361285,-0.4584423718967175,0.2795212971399708,0.06970801507624717,0.041125237857948596,0.15657336012208325,0.9912671161848823,3,MDD>,0,2,0.0760887788193969,0.16337136679827832,0.6414007474863763
dds_RH_alpha1,0.29676414841881543,0.2285394525636323,0.13618091931143622,0.08211636030261431,0.22307807139601168,0.5977378636666502,0.2522483021112689,0.2770373635719283,0.3861478952848886,-0.1595092204790496,0.1566798535829686,0.13396385668400362,3,MDD>,0,0,0.05754641829055793,0.11407566694413354,0.6139393506081916
dds_RH_alpha1,0.29676414841881543,0.2285394525636323,0.13618091931143622,0.08211636030261431,0.22307807139601168,0.5977378636666502,0.2522483021112689,0.2770373635719283,0.3861478952848886,-0.1595092204790496,0.1566798535829686,0.13396385668400362,3,MDD>,0,0,0.05754641829055793,0.11407566694413354,0.6139393506081916
te_LH_frontal,0.05571262942775398,0.22746862733130277,0.3560532174301366,0.07873547245178297,0.2230713740145916,0.4448395817425417,-0.3315194561167814,0.27782416439729307,0.22776867921123312,0.07469877338384277,0.15659080000769215,0.3959303996889053,3,MDD>,0,0,0.015138605756640153,0.10360587806674894,0.8838288307919753
dds_frontal_alpha1,0.15511620254479258,0.22773322056477427,0.18713954581078884,0.1566317515642878,0.22329705649110643,0.3685853125361189,0.18219660481914604,0.2765186998225964,0.31266106400211124,-0.2564902994569912,0.1568605736178325,0.4233817969763487,3,MDD>,0,0,0.00456700041441255,0.12338832423168912,0.9704744570173256
dds_frontal_alpha1,0.15511620254479258,0.22773322056477427,0.18713954581078884,0.1566317515642878,0.22329705649110643,0.3685853125361189,0.18219660481914604,0.2765186998225964,0.31266106400211124,-0.2564902994569912,0.1568605736178325,0.4233817969763487,3,MDD>,0,0,0.00456700041441255,0.12338832423168912,0.9704744570173256
